id_empresa,nome_empresa
18358,Dauriti Distribuidora
18358,Dauriti Distribuidora de Alimentos
18218,Daus
18242,Daviso
8349,DBR Comércio de Artigos do Vestuário
726,Delore Comércio de Automóveis
10134,Dental Cremer
14715,Dental Speed
17251,Devanlay Ventures do Brasil
17589,DFS Holding
131,Diaço
1549,Dias Pastorinho
4684,Digigraf
4229,Diniz Participações
2905,Dirmave
2117,Disal
1114,Distal
5687,Distribuidora Automotiva
2255,Distribuidora Curitiba
20011,Distribuidora e Importadora Irmãos Avelino
1255,Distribuidora Fartura
803,Distribuidora Titanium Importadora e Exportadora de Auto Peças
16290,Divcom
14803,Divena Caminhões
12876,DM Lingerie
23380,DMA Distribuidora
1934,Dotcom
1934,Dotcom Group Comércio de Presentes
5693,Dpaschoal
16539,Drogaria Araújo
5561,Drogaria Rosário
5718,Drogaria São Paulo
6783,Drogarias DPSP
5672,Drogarias Pacheco
2575,Drogasil
23684,Duferco do Brasil Distribuição
19595,Dupatri Hospitalar
2380,ED & F Man Brasil
7749,Editora CNA
4214,Editora Saraiva
6359,Eisa
21001,Eixo Snetor Brasil Comércio Internacional
5700,Eletrosom
24692,Eletrozema
20275,Elfa Medicamentos
2423,Ellus do Brasil
3808,Embpar Participações
6548,Encorpar
23446,Enerfo Sugar do Brasil
23949,Enxuto Supermercados
2899,Eskisa
17096,Etilux Importação e Distribuição de Artigos de Cutelaria
9039,Eurobike
3613,Eurokraft
724,Eurokraft Veículos
450,Eurostar do Brasil
1735,Eurovia Automóveis e Utilitários
1198,Eurovia Veículos
484,Excelsior Pneus
13956,Excim
1454,Exicon Trading
24473,Expocaccer
18704,Extra Máquinas
14416,Extrafruti
14416,Extrafruti - Hortifrutigranjeiros
19218,Faria Veículos
14205,Farmácia e Drogaria Nissei
5734,Farmácias Pague Menos
24786,Farmax Distribuidora
14707,Farol
20888,Fast Shop
21331,Fastpar Holding
24868,Fazenda São Benedito
1690,Fercoi
24370,Ferrari Zagatto
1212,Festval
5836,Fiagril Participações
5565,First
24511,Fisia Comércio de Produtos Esportivos
270,Florença Caminhões
5803,Florença Veículos
2322,Floresta Comércio e Indústria
788,Forcecar
788,Forcecar Automotive
14568,Forno de Minas
18195,Fortbras Autopeças
18195,Fortbras Participações
20384,Foxlux
7188,Frigol
10187,Frisa Comercial
3613,Frível
14705,Frooty
3459,Fujioka
7377,Fullcomex
16535,Gavilon do Brasil
19660,Gazin Holding
13976,GGD Metals
5542,Giassi Administradora de Bens
23351,Gimba
7517,Glencore
8682,Globalbev
14,GPA
249,Graciano R. Affonso
21283,Gran Coffee
21283,"Gran Coffee Comércio, Locação e Serviços"
23434,Grão de Ouro Agronegócios
1288,Grazziotin
15687,Greenergy Brasil
15687,Greenergy Brasil Trading
6202,Grupo A
6202,Grupo A Educação
18184,Grupo Avenida
22662,Grupo Big Brasil
14229,Grupo Carrefour Brasil
6435,Grupo Casas Bahia
19161,Grupo de Moda Soma
18173,Grupo Fartura de Hortifruti
13976,Grupo Gonçalves Dias
22631,Grupo Mateus
14,Grupo Pão de Açúcar
23940,Grupo Roldão
8275,Grupo SBF
2019,Grupo Unetral
20384,Grupo Vellore
58,Guanabara Diesel
4080,GV Holding
3754,GZT
3420,H. Stern
22506,Havan
1114,HC Peças
6373,HC Pneus
16900,Hinove Agrociência
19707,Hoff
3349,Hortifruti
3349,Hortigil
17123,Hortus Comércio de Alimentos
18130,Hospfar
18130,Hospfar Indústria e Comércio
9249,Houston do Nordeste
2260,HSJ Comercial
17442,HTK Lentes Oftálmicas
24612,Humberg Agribrasil Bioenergia
655,Ibasa
22549,ICC Industrial
5853,Igarapava Participações
10406,Imaginarium Franchising
1346,Imec Supermercados
3456,Imifarma
22435,Imperial Distribuidora
655,Importadora Bagé
1802,Importadora de Ferragens
2423,Inbrands
19578,Incopisos
18429,Incrível Comércio de Bebidas e Alimentos
20272,Independente Participações
11692,Infragas
11692,Infragas Infraestrutura de Gás para Região Sul
6359,Interagrícola
7981,Interbrasil
19992,Intercontinental Comércio de Veículos
7981,Intercroma
23827,Interfood Importação
1144,Interpastil
561,Ipanema Coffees
2011,Irmãos de Marco Comércio de Veículos e Peças
1030,Irsa Rolamentos
7320,Itaguaçu Comércio e Participações
1948,Itão Supermercados Importações e Exportações
1136,Itochu Brasil
9110,J. Malucelli Equipamentos
3965,"J.A.C. Empreendimentos, Participações e Negócios"
7241,J.L. Braz
7241,J.L. Braz Participações
1692,J.S. Auto Peças
1692,J.S. Peças
24899,JA Agronegócios
24495,Japy Participações e Negócios Empresariais
18215,JCS Brasil
18215,JCS Brasil Eletrodomésticos
20915,JF Comércio e Distribuição de Alimentos
20915,JF Foodservice
8326,JFLOG Participações
21446,JoãoMed
20103,Joatinga Participações
3354,Jorlan
6810,Jorlan BH
5135,José Alencar Gomes da Silva
1692,JS Peças
5059,JVRJ Participações
18123,Kalunga
13253,Kicaldo
5402,Kimoto
4212,K-Ímpar
1196,Koerich
5402,Koerich Holding
936,Krahenbuhl
14297,Kurumá
14297,Kurumá Veículos - Toyota
7205,Lago San
21415,Lavoro
21709,Lavoro Agrocomercial
1388,Lavoura
1388,Lavoura Indústria Comércio Oeste
7533,Le Biscuit
6055,Le Lac
2571,Le Lis
2571,Le Lis Blanc
6349,Leader
6349,Leader Magazine
18144,Lenovo
18091,Lenovo Comercial e Distribuição
20046,Lenovo Global Tecnologia Brasil
18113,Leo Madeiras
18652,Leveros
9217,Líder B.H. Veículos
9217,Líder B.H. Veículos S.A.
8990,Líder Comércio e Indústria
9217,Líder Veículos
1367,Liliani
1491,Linck
1491,Linck Máquinas
14143,Lindt & Sprüngli (Brazil)
3501,Livraria Saraiva
2255,Livrarias Curitiba
6405,Lojas Americanas
3743,Lojas Cem
1784,Lojas Citycol
3500,Lojas Colombo
4462,Lojas Colombo Motors
7353,Lojas Edmil
2399,Lojas Marisa
22096,Lojas Quero Quero
2389,Lojas Renner
3732,Lojas Riachuelo
16547,Lopes Participações
6393,Lopes Supermercados
8419,Los Grobo Ceagro
12636,Loungerie
2271,Luchini
10233,Luiz Tonin Atacadista
23183,M12 Participações Empresariais
14454,Macrofértil
20016,MadeiraMadeira
14341,Mafra Hospitalar
3913,Magalu
3913,Magazine Luiza
16323,Magnamed
142,Magparaná
3642,Makro
20447,Maqcampo
20447,Maqcampo Soluções Agrícolas
14097,Marcopolo Trading
2399,Marisa
3755,Martins
751,Marubeni
751,Marubeni Brasil
195,MCC
8538,Mclarty Maia
24454,MD Medical Doctor
1730,Mecasul
8032,Medilar Importação e Distribuição de Produtos Médicos Hospitalares
8032,Medlive
1250,Meincol
16290,Melora do Brasil Produtos Dermatológicos
15931,Memora Processos Inovadores
11320,"Mills Pesados Locação, Serviços e Logística"
1780,Minasmáquinas
2208,Miriam Mercedes-Benz Brasil
283,Mitsubishi
543,Mitsui & Co. (Brasil)
16717,Moageira Irati Cereais
22784,Mobly
6034,Moinho Régio
20738,Montecitrus
6372,Moove
1556,Moto Agrícola Slaviero
347,Motomecânica
78,Motormac
78,Motormac Cummins
6025,Multidisplay
6025,Multidisplay Comércio e Serviços Tecnológicos
24457,Multilab Indústria e Comércio de Produtos Farmacêuticos
584,Multitrade
3754,Mundiart
19485,Mundo dos Cosméticos
12945,MV Participações
5404,MX Importadora e Exportadora
19895,Nacional Comercial Hospitalar
21574,Natura & Co
21574,Natura &Co
21574,Natura Holding
22528,Natural One Holding de Participações
5953,Neoortho
2418,Netshoes
2091,Niazi Chohfi
1258,Nicafé
5801,Noble Brasil
21074,Nokia Solutions And Networks do Brasil Telecomunicações
3933,Nórdica Veículos
1860,Norpave Veículos
1860,Norpave.com.br
2218,Nortel
2218,Nortel Suprimentos Industriais
14311,Nova Piramidal Thermoplastics
1120,Novafrota
24583,Novo Mundo
24583,novomundo.com
8373,Nuseed Brasil
14229,O Atacadão
18173,Oba Hortifruti
4286,OCS Investimentos
114,Odebrecht Serviços de Exportação
