id_empresa,id_conta,data_fechamento,valor
24348,56,2021-12-31,391974544
24348,57,2021-12-31,41034659
24348,103,2021-12-31,15556663
24348,178,2021-12-31,208952503
24348,230,2021-12-31,61791263
24348,286,2021-12-31,136787441
24348,332,2021-12-31,740183766
24348,333,2021-12-31,-512834366
24348,335,2021-12-31,-180924107
24348,347,2021-12-31,46425293
24348,375,2021-12-31,57020842
24348,421,2021-12-31,-25336401
24348,462,2021-12-31,-4311114
24348,473,2021-12-31,64399242
24348,55,2020-12-31,277957044
24348,56,2020-12-31,265263974
24348,57,2020-12-31,6282932
24348,103,2020-12-31,12693070
24348,178,2020-12-31,136365251
24348,230,2020-12-31,45324556
24348,286,2020-12-31,96267237
24348,332,2020-12-31,606759943
24348,333,2020-12-31,-399908992
24348,335,2020-12-31,-133209953
24348,347,2020-12-31,73640998
24348,375,2020-12-31,63486842
24348,421,2020-12-31,-37753091
24348,462,2020-12-31,-6129126
24348,473,2020-12-31,48969283
7288,55,2024-12-31,8889423000
7288,56,2024-12-31,5776390000
7288,57,2024-12-31,1696858000
7288,73,2024-12-31,75404000
7288,103,2024-12-31,3113033000
7288,178,2024-12-31,3666344000
7288,230,2024-12-31,1177361000
7288,286,2024-12-31,4045718000
7288,332,2024-12-31,12825771000
7288,333,2024-12-31,-10294268000
7288,335,2024-12-31,-1286205000
7288,347,2024-12-31,1245298000
7288,375,2024-12-31,756395000
7288,421,2024-12-31,726212000
7288,462,2024-12-31,-523296000
7288,473,2024-12-31,465459000
7288,55,2023-12-31,6883789000
7288,56,2023-12-31,4422008000
7288,57,2023-12-31,1028483000
7288,73,2023-12-31,197451000
7288,103,2023-12-31,2461781000
7288,178,2023-12-31,2784746000
7288,230,2023-12-31,747152000
7288,286,2023-12-31,3351891000
7288,332,2023-12-31,8998985000
7288,333,2023-12-31,-7752979000
7288,335,2023-12-31,-804316000
7288,347,2023-12-31,441690000
7288,375,2023-12-31,573802000
7288,421,2023-12-31,863505000
7288,462,2023-12-31,-459799000
7288,473,2023-12-31,-99537000
7288,55,2022-12-31,6081989000
7288,56,2022-12-31,4257219000
7288,57,2022-12-31,724314000
7288,73,2022-12-31,154841000
7288,103,2022-12-31,1824770000
7288,178,2022-12-31,2739186000
7288,230,2022-12-31,524248000
7288,286,2022-12-31,2818555000
7288,332,2022-12-31,6885839000
7288,333,2022-12-31,-5842540000
7288,335,2022-12-31,-505648000
7288,347,2022-12-31,537651000
7288,375,2022-12-31,571174000
7288,421,2022-12-31,257697000
7288,462,2022-12-31,-39948000
7288,473,2022-12-31,154975000
7288,55,2021-12-31,4395601000
7288,56,2021-12-31,3354305000
7288,57,2021-12-31,351590000
7288,73,2021-12-31,739002000
7288,103,2021-12-31,1041296000
7288,178,2021-12-31,1831275000
7288,230,2021-12-31,328086000
7288,286,2021-12-31,2236240000
7288,332,2021-12-31,5339317000
7288,333,2021-12-31,-4638263000
7288,335,2021-12-31,-347460000
7288,347,2021-12-31,353594000
7288,375,2021-12-31,430306000
7288,421,2021-12-31,105523000
7288,462,2021-12-31,-1123540000
7288,473,2021-12-31,1116915000
7288,55,2020-12-31,2321373000
7288,56,2020-12-31,1770014000
7288,57,2020-12-31,252692000
7288,103,2020-12-31,551359000
7288,178,2020-12-31,1365036000
7288,230,2020-12-31,244205000
7288,286,2020-12-31,712132000
7288,332,2020-12-31,3112439000
7288,333,2020-12-31,-2612260000
7288,335,2020-12-31,-172704000
7288,347,2020-12-31,327475000
7288,375,2020-12-31,246263000
7288,421,2020-12-31,79979000
7288,462,2020-12-31,-73998000
7288,473,2020-12-31,82741000
16412,55,2023-12-31,1261090000
16412,56,2023-12-31,927739000
16412,57,2023-12-31,31240000
16412,103,2023-12-31,333351000
16412,178,2023-12-31,710215000
16412,230,2023-12-31,159322000
16412,286,2023-12-31,391553000
16412,332,2023-12-31,2523439000
16412,333,2023-12-31,-2298605000
16412,335,2023-12-31,-178130000
16412,347,2023-12-31,46704000
16412,375,2023-12-31,80167000
16412,421,2023-12-31,-139716000
16412,462,2023-12-31,-6101000
16412,473,2023-12-31,145773000
16412,55,2022-12-31,685862000
16412,56,2022-12-31,521409000
16412,57,2022-12-31,31284000
16412,103,2022-12-31,164453000
16412,178,2022-12-31,371621000
16412,230,2022-12-31,2800000
16412,286,2022-12-31,311441000
16412,332,2022-12-31,1687427000
16412,333,2022-12-31,-1473568000
16412,335,2022-12-31,-36347000
16412,347,2022-12-31,177512000
16412,375,2022-12-31,134542000
16412,421,2022-12-31,9177000
16412,462,2022-12-31,-31227000
16412,473,2022-12-31,34940000
16412,55,2021-12-31,449524000
16412,56,2021-12-31,372764000
16412,57,2021-12-31,18394000
16412,103,2021-12-31,76760000
16412,178,2021-12-31,270230000
16412,230,2021-12-31,2316000
16412,286,2021-12-31,176978000
16412,332,2021-12-31,1271501000
16412,333,2021-12-31,-1113382000
16412,335,2021-12-31,-83595000
16412,347,2021-12-31,74524000
16412,375,2021-12-31,69532000
16412,421,2021-12-31,13089000
16412,462,2021-12-31,-22522000
16412,473,2021-12-31,4901000
16412,55,2020-12-31,384769000
16412,56,2020-12-31,322643000
16412,57,2020-12-31,22925000
16412,103,2020-12-31,62126000
16412,178,2020-12-31,217426000
16412,230,2020-12-31,59857000
16412,286,2020-12-31,107486000
16412,332,2020-12-31,998372000
16412,333,2020-12-31,-914335000
16412,335,2020-12-31,-71048000
16412,347,2020-12-31,12989000
16412,375,2020-12-31,25574000
16412,421,2020-12-31,-9876000
16412,462,2020-12-31,-3233000
16412,473,2020-12-31,31671000
16412,55,2023-12-31,1261090000
16412,56,2023-12-31,927739000
16412,57,2023-12-31,31240000
16412,103,2023-12-31,333351000
16412,178,2023-12-31,710215000
16412,230,2023-12-31,159322000
16412,286,2023-12-31,391553000
16412,332,2023-12-31,2523439000
16412,333,2023-12-31,-2298605000
16412,335,2023-12-31,-178130000
16412,347,2023-12-31,46704000
16412,375,2023-12-31,80167000
16412,421,2023-12-31,-139716000
16412,462,2023-12-31,-6101000
16412,473,2023-12-31,145773000
16412,55,2022-12-31,685862000
16412,56,2022-12-31,521409000
16412,57,2022-12-31,31284000
16412,103,2022-12-31,164453000
16412,178,2022-12-31,371621000
16412,230,2022-12-31,2800000
16412,286,2022-12-31,311441000
16412,332,2022-12-31,1687427000
16412,333,2022-12-31,-1473568000
16412,335,2022-12-31,-36347000
16412,347,2022-12-31,177512000
16412,375,2022-12-31,134542000
16412,421,2022-12-31,9177000
16412,462,2022-12-31,-31227000
16412,473,2022-12-31,34940000
16412,55,2021-12-31,449524000
16412,56,2021-12-31,372764000
16412,57,2021-12-31,18394000
16412,103,2021-12-31,76760000
16412,178,2021-12-31,270230000
16412,230,2021-12-31,2316000
16412,286,2021-12-31,176978000
16412,332,2021-12-31,1271501000
16412,333,2021-12-31,-1113382000
16412,335,2021-12-31,-83595000
16412,347,2021-12-31,74524000
16412,375,2021-12-31,69532000
16412,421,2021-12-31,13089000
16412,462,2021-12-31,-22522000
16412,473,2021-12-31,4901000
16412,55,2020-12-31,384769000
16412,56,2020-12-31,322643000
16412,57,2020-12-31,22925000
16412,103,2020-12-31,62126000
16412,178,2020-12-31,217426000
16412,230,2020-12-31,59857000
16412,286,2020-12-31,107486000
16412,332,2020-12-31,998372000
16412,333,2020-12-31,-914335000
16412,335,2020-12-31,-71048000
16412,347,2020-12-31,12989000
16412,375,2020-12-31,25574000
16412,421,2020-12-31,-9876000
16412,462,2020-12-31,-3233000
16412,473,2020-12-31,31671000
23738,55,2020-12-31,447729628
23738,56,2020-12-31,171778086
23738,57,2020-12-31,7646934
23738,103,2020-12-31,275951542
23738,178,2020-12-31,199000952
23738,230,2020-12-31,233420319
23738,286,2020-12-31,15308357
23738,332,2020-12-31,996855760
23738,333,2020-12-31,-783112337
23738,335,2020-12-31,-172006436
23738,347,2020-12-31,41736987
23738,375,2020-12-31,7712239
3034,55,2023-12-31,81955620
3034,56,2023-12-31,69028471
3034,57,2023-12-31,4737676
3034,103,2023-12-31,12927149
3034,178,2023-12-31,43857934
3034,230,2023-12-31,2884419
3034,286,2023-12-31,35213267
3034,332,2023-12-31,167260102
3034,333,2023-12-31,-136958111
3034,335,2023-12-31,-16628130
3034,347,2023-12-31,13673861
3034,375,2023-12-31,10489729
3034,421,2023-12-31,439386
3034,462,2023-12-31,3057872
3034,473,2023-12-31,-2374510
3034,55,2022-12-31,74287967
3034,56,2022-12-31,57674003
3034,57,2022-12-31,3614928
3034,103,2022-12-31,16613964
3034,178,2022-12-31,40218941
3034,230,2022-12-31,8154723
3034,286,2022-12-31,25914303
3034,332,2022-12-31,177729061
3034,333,2022-12-31,-142766656
3034,335,2022-12-31,-15227266
3034,347,2022-12-31,19735139
3034,375,2022-12-31,14843984
3034,421,2022-12-31,6396683
3034,462,2022-12-31,-1237750
3034,473,2022-12-31,-3012442
3034,55,2021-12-31,55836396
3034,56,2021-12-31,39867204
3034,57,2021-12-31,1468437
3034,103,2021-12-31,15969192
3034,178,2021-12-31,33709059
3034,230,2021-12-31,10723407
3034,286,2021-12-31,11403930
3034,332,2021-12-31,111760631
3034,333,2021-12-31,-90616811
3034,335,2021-12-31,-12841237
3034,347,2021-12-31,8302583
3034,375,2021-12-31,6272126
5767,55,2023-12-31,2455918000
5767,56,2023-12-31,1435549000
5767,57,2023-12-31,135443000
5767,73,2023-12-31,42001000
5767,103,2023-12-31,1020369000
5767,178,2023-12-31,1238503000
5767,230,2023-12-31,428739000
5767,286,2023-12-31,788676000
5767,332,2023-12-31,2045154000
5767,333,2023-12-31,-1191709000
5767,335,2023-12-31,-793713000
5767,347,2023-12-31,59732000
5767,375,2023-12-31,66338000
5767,421,2023-12-31,368939000
5767,462,2023-12-31,-51162000
5767,473,2023-12-31,-239831000
5767,55,2022-12-31,2538487000
5767,56,2022-12-31,1672699000
5767,57,2022-12-31,57413000
5767,73,2022-12-31,75984000
5767,103,2022-12-31,865788000
5767,178,2022-12-31,1288264000
5767,230,2022-12-31,514778000
5767,286,2022-12-31,735445000
5767,332,2022-12-31,1935143000
5767,333,2022-12-31,-1138474000
5767,335,2022-12-31,-771720000
5767,347,2022-12-31,24949000
5767,375,2022-12-31,18920000
5767,421,2022-12-31,-128571000
5767,462,2022-12-31,-30036000
5767,473,2022-12-31,166421000
5767,55,2021-12-31,2185478000
5767,56,2021-12-31,1282217000
5767,57,2021-12-31,49599000
5767,73,2021-12-31,7808000
5767,103,2021-12-31,903261000
5767,178,2021-12-31,1150797000
5767,230,2021-12-31,329434000
5767,286,2021-12-31,705247000
5767,332,2021-12-31,1808380000
5767,333,2021-12-31,-1129812000
5767,335,2021-12-31,-619144000
5767,347,2021-12-31,59424000
5767,375,2021-12-31,75228000
5767,421,2021-12-31,-118337000
5767,462,2021-12-31,-41522000
5767,473,2021-12-31,-13009000
5767,55,2020-12-31,2130107000
5767,56,2020-12-31,1356579000
5767,57,2020-12-31,222467000
5767,73,2020-12-31,10721000
5767,103,2020-12-31,773528000
5767,178,2020-12-31,805127000
5767,230,2020-12-31,731252000
5767,286,2020-12-31,593728000
5767,332,2020-12-31,1542200000
5767,333,2020-12-31,-1005876000
5767,335,2020-12-31,-331842000
5767,347,2020-12-31,204482000
5767,375,2020-12-31,236648000
5767,421,2020-12-31,1602000
5767,462,2020-12-31,-43648000
5767,473,2020-12-31,236802000
5767,55,2023-12-31,2455918000
5767,56,2023-12-31,1435549000
5767,57,2023-12-31,135443000
5767,73,2023-12-31,42001000
5767,103,2023-12-31,1020369000
5767,178,2023-12-31,1238503000
5767,230,2023-12-31,428739000
5767,286,2023-12-31,788676000
5767,332,2023-12-31,2045154000
5767,333,2023-12-31,-1191709000
5767,335,2023-12-31,-793713000
5767,347,2023-12-31,59732000
5767,375,2023-12-31,66338000
5767,421,2023-12-31,368939000
5767,462,2023-12-31,-51162000
5767,473,2023-12-31,-239831000
5767,55,2022-12-31,2538487000
5767,56,2022-12-31,1672699000
5767,57,2022-12-31,57413000
5767,73,2022-12-31,75984000
5767,103,2022-12-31,865788000
5767,178,2022-12-31,1288264000
5767,230,2022-12-31,514778000
5767,286,2022-12-31,735445000
5767,332,2022-12-31,1935143000
5767,333,2022-12-31,-1138474000
5767,335,2022-12-31,-771720000
5767,347,2022-12-31,24949000
5767,375,2022-12-31,18920000
5767,421,2022-12-31,-128571000
5767,462,2022-12-31,-30036000
5767,473,2022-12-31,166421000
5767,55,2021-12-31,2185478000
5767,56,2021-12-31,1282217000
5767,57,2021-12-31,49599000
5767,73,2021-12-31,7808000
5767,103,2021-12-31,903261000
5767,178,2021-12-31,1150797000
5767,230,2021-12-31,329434000
5767,286,2021-12-31,705247000
5767,332,2021-12-31,1808380000
5767,333,2021-12-31,-1129812000
5767,335,2021-12-31,-619144000
5767,347,2021-12-31,59424000
5767,375,2021-12-31,75228000
5767,421,2021-12-31,-118337000
5767,462,2021-12-31,-41522000
5767,473,2021-12-31,-13009000
5767,55,2020-12-31,2130107000
5767,56,2020-12-31,1356579000
5767,57,2020-12-31,222467000
5767,73,2020-12-31,10721000
5767,103,2020-12-31,773528000
5767,178,2020-12-31,805127000
5767,230,2020-12-31,731252000
5767,286,2020-12-31,593728000
5767,332,2020-12-31,1542200000
5767,333,2020-12-31,-1005876000
5767,335,2020-12-31,-331842000
5767,347,2020-12-31,204482000
5767,375,2020-12-31,236648000
5767,421,2020-12-31,1602000
5767,462,2020-12-31,-43648000
5767,473,2020-12-31,236802000
8214,55,2023-12-31,116937000
8214,56,2023-12-31,72012000
8214,57,2023-12-31,15444000
8214,103,2023-12-31,44925000
8214,178,2023-12-31,57612000
8214,230,2023-12-31,8506000
8214,286,2023-12-31,50819000
8214,332,2023-12-31,153381000
8214,333,2023-12-31,-94232000
8214,335,2023-12-31,-60473000
8214,347,2023-12-31,-1324000
8214,375,2023-12-31,-9069000
8214,421,2023-12-31,-17631000
8214,462,2023-12-31,-1961000
8214,55,2022-12-31,258142000
8214,56,2022-12-31,218506000
8214,57,2022-12-31,35036000
8214,103,2022-12-31,39636000
8214,178,2022-12-31,190485000
8214,230,2022-12-31,7769000
8214,286,2022-12-31,59888000
8214,332,2022-12-31,373015000
8214,333,2022-12-31,-351800000
8214,335,2022-12-31,-73348000
8214,347,2022-12-31,-52133000
8214,375,2022-12-31,-51039000
8214,421,2022-12-31,5791000
8214,462,2022-12-31,-2074000
8214,55,2021-12-31,233815000
8214,56,2021-12-31,194974000
8214,57,2021-12-31,31319000
8214,103,2021-12-31,38841000
8214,178,2021-12-31,114935000
8214,230,2021-12-31,7953000
8214,286,2021-12-31,110927000
8214,332,2021-12-31,735059000
8214,333,2021-12-31,-491961000
8214,335,2021-12-31,-67429000
8214,347,2021-12-31,175669000
8214,375,2021-12-31,130014000
8214,421,2021-12-31,49182000
8214,462,2021-12-31,4883000
8214,473,2021-12-31,-49895000
8214,55,2020-12-31,198693000
8214,56,2020-12-31,157912000
8214,57,2020-12-31,36915000
8214,103,2020-12-31,40781000
8214,178,2020-12-31,216118000
8214,230,2020-12-31,7884000
8214,286,2020-12-31,-25309000
8214,332,2020-12-31,206915000
8214,333,2020-12-31,-219281000
8214,335,2020-12-31,-59002000
8214,347,2020-12-31,-71368000
8214,375,2020-12-31,-61494000
8214,421,2020-12-31,12678000
8214,462,2020-12-31,2335000
8214,473,2020-12-31,-384000
454,55,2022-12-31,71165390
454,56,2022-12-31,64493413
454,57,2022-12-31,1864740
454,103,2022-12-31,6671977
454,178,2022-12-31,29936242
454,230,2022-12-31,1732388
454,286,2022-12-31,39496760
454,332,2022-12-31,136436276
454,333,2022-12-31,-102299856
454,335,2022-12-31,-20483581
454,347,2022-12-31,13652839
454,375,2022-12-31,8234220
454,421,2022-12-31,4682776
454,462,2022-12-31,-1272214
454,473,2022-12-31,-3755513
454,55,2021-12-31,49895011
454,56,2021-12-31,44211025
454,57,2021-12-31,2209691
454,103,2021-12-31,5683986
454,178,2021-12-31,13962343
454,230,2021-12-31,576228
454,286,2021-12-31,35356440
454,332,2021-12-31,93197024
454,333,2021-12-31,-69414274
454,335,2021-12-31,-15787218
454,347,2021-12-31,7995532
454,375,2021-12-31,4973105
454,421,2021-12-31,-1390134
454,462,2021-12-31,-349661
454,473,2021-12-31,-2643938
454,55,2020-12-31,47671364
454,56,2020-12-31,42362437
