nome_empresa,data_fechamento,Aplicações financeiras,Ativo circulante,Ativo não circulante,Ativo total,Caixa e equivalentes de caixa,Caixa líquido das atividades de financiamento,Caixa líquido das atividades de investimento,Caixa líquido das atividades operacionais,Custo de bens e/ou serviços vendidos,Despesas/Receitas operacionais,Lucro/Prejuízo do período,Passivo circulante,Passivo não circulante,Patrimônio líquido,Receita líquida de vendas e/ou serviços,Resultado antes do resultado financeiro e dos tributos
Mundiart,2023-12-31,0,71828773,11438086,83266859,9874444,-17277348,-2309326,20590904,-84681356,-15784404,10935052,8455004,1777685,73034170,114543014,14077254
Bracom Rio Imobiliária,2022-12-31,0,3393836,47003346,50397182,2103349,3618387,-1124297,-547107,-44916,-869397,126853,3015266,11303423,36078493,1404351,490038
Drogaria Araújo,2021-12-31,0,790054000,405107000,1195161000,120766000,-39779000,-78501000,80000000,-1655087000,-786430000,129641000,429651000,12843000,752667000,2587593000,146076000
Pemaza Amazônia,2021-12-31,0,624489499,38383659,662873158,98566278,257183042,-8022605,-158576666,-508088941,-147307163,74857466,195758106,148363265,318751787,775217492,119821388
J.S. Peças,2021-12-31,0,133775725,3622735,137398460,409156,-11151014,-830384,-770628,-247001746,-86066385,13436220,68626017,13867956,54904487,356241779,23173648
Líder B.H. Veículos,2023-12-31,66379313,192408406,40103413,232511819,3865046,-4793673,-3400520,7299292,-587728957,-77666423,10047826,107129346,58028028,67354445,689575730,24180350
JoãoMed,2021-12-31,0,22907000,8910000,31817000,2944000,-1061000,-3887000,1445000,-29999000,-10621000,959000,5392000,0,26425000,41728000,1108000
Marubeni,2023-12-31,0,98136000,22933000,121069000,48921000,-56639000,1220000,10906000,-14836000,-44341000,18623000,13519000,2030000,105520000,71619000,12442000
Daviso,2021-12-31,0,110000000,11851000,121851000,24359000,-619000,-1065000,5587000,-109690000,-17866000,12511000,44634000,7471000,69746000,146645000,19089000
Makro,2023-12-31,0,996165000,1166740000,2162905000,123525000,-130608000,712848000,-492419000,-754416000,150447000,105889000,1001963000,213765000,947177000,843299000,239330000
Almar Participações,2023-12-31,0,1800611000,1040454000,2841065000,241323000,-136616000,-112526000,313158000,-4346688000,-1156111000,121513000,1108413000,553225000,1179427000,5576686000,73887000
Dental Cremer,2020-12-31,0,749733000,573790000,1323523000,12314000,0,0,0,-694416000,-241079000,39453000,712846000,44579000,566098000,1013950000,78455000
Quero-Quero,2023-12-31,110209000,2218074000,1087649000,3305723000,421357000,-82315000,-79588000,166481000,-1572115000,-723006000,19679000,1307156000,1464765000,533802000,2398127000,103006000
Brasilata,2020-12-31,0,29520000,53000,29573000,869000,-12582000,0,11667000,-62496000,-10534000,796000,22709000,2222000,4642000,78887000,5857000
São Eutiquiano Participações,2022-12-31,0,1093006000,1170742000,2263748000,414021000,-141138000,-293828000,418083000,-1016196000,-54103000,310512000,404595000,751835000,1107318000,1565742000,495443000
BRFértil,2020-12-31,0,316148466,39805610,355954077,87582685,41736000,-33702000,54414778,-461618596,-28379703,19739309,285124452,31732832,39096792,537103850,47105550
Maqcampo Soluções Agrícolas,2022-12-31,383019000,1078984000,224468000,1303452000,51000,542718000,-360442000,-188707000,-1055719000,-179392000,259272000,270196000,541258000,491998000,1578584000,343473000
Fazenda São Benedito,2023-12-31,0,2784123000,5212891000,7997014000,154982000,-273903000,-452715000,584699000,-3949704000,-79009000,284013000,2421756000,4830551000,744707000,4011817000,-16896000
Frível,2020-12-31,0,12765503,2975791,15741294,2976701,851636,786910,-858403,-26147876,-2967967,652979,4435166,1581484,9724644,30028305,912462
Supermercados Cidade Canção,2022-12-31,0,904324000,1230573000,2134897000,179442000,-34614000,-206345000,226409000,-2767488000,-821460000,35633000,888988000,676161000,569748000,3761976000,173028000
Drogarias DPSP,2022-12-31,0,4566227000,3139304000,7705531000,356334000,-730730000,-431454000,1005224000,-8786860000,-3277915000,361724000,3660713000,1880734000,2164084000,12869604000,804829000
Atlântica Sementes,2023-09-30,0,160648000,189120000,349768000,27083000,8336000,-21335000,1365000,-111189000,-84163000,27350000,108350000,37698000,203720000,246006000,50654000
Biz Distribuidora,2022-12-31,9102000,38032000,420000,38452000,666000,5818000,-54000,1583000,-102046000,-21840000,3927000,19829000,6361000,12262000,131469000,7583000
Belenus,2023-12-31,0,1655391000,319021000,1974412000,0,0,0,0,-2514902000,-315415000,21948000,828158000,712253000,434001000,2971283000,140966000
Brasilwagen,2021-12-31,403000,48735000,68460000,117195000,6000,10172000,-19626000,4772000,-309486000,-33345000,8295000,48430000,31517000,37248000,354850000,12019000
Distribuidora Titanium Importadora e Exportadora de Auto Peças,2023-12-31,0,7701034,256440,7957474,150217,-257986,-1239,317071,-15162068,-3184457,237425,4159721,186139,3611614,19051537,705012
AstraZeneca do Brasil,2020-12-31,0,838380000,267605000,1105985000,74484000,-25000000,-27922000,119078000,-836706000,-429554000,264703000,295765000,49357000,760863000,1609690000,343430000
Cerealista Nova Safra,2020-12-31,0,78100000,26800000,104900000,15172000,-39487000,-1958000,29519000,-278769000,-40515000,24264000,43818000,7570000,53512000,347600000,28316000
Brasilmad Exportadora,2023-12-31,0,194065555,596962,194662517,3961576,-77421758,-77601,78349852,-445328031,-10678842,11893916,95615648,356817,98690052,493831867,37824994
MV Participações,2021-12-31,0,231753000,144866000,376619000,0,-15555000,-6891000,31234000,-169830000,-101879000,47255000,128755000,36428000,211436000,336166000,64457000
Jorlan,2021-12-31,0,73479000,299502000,372981000,3148000,5004000,-27691000,22242000,-301729000,-28926000,20166000,66188000,183381000,123412000,361955000,31300000
Ferrari Zagatto,2021-12-31,2811000,489759000,44693000,534452000,57574000,40890000,-2130000,-27892000,-541789000,-53463000,12183000,432336000,62756000,39360000,634367000,39115000
Divena Caminhões,2021-12-31,11210889,408351534,137844029,546195563,65400581,0,0,0,-445202265,-51241589,21411760,373504198,89866827,82824538,534283293,37839439
Carrefour,2020-12-31,0,25413000000,26411000000,51824000000,5672000000,-360000000,-3323000000,4033000000,-57273000000,-9414000000,2844000000,24720000000,10059000000,17045000000,71191000000,4504000000
OCS Investimentos,2022-12-31,0,364948000,302051000,666999000,15896000,-42128000,-1511000,19131000,-1487334000,-235346000,-5383000,332654000,249619000,84726000,1724683000,2003000
Havan,2021-12-31,0,5355370000,4017506000,9372876000,1290606000,-629547000,-670319000,668679000,-6233499000,-2007220000,530875000,4016683000,4562348000,793845000,9556115000,1315396000
Cordeiro Cabos Elétricos,2021-12-31,0,500808000,156472000,657280000,104695000,70683000,-6777000,-31629000,-1485703000,-45816000,19032000,315749000,197009000,144522000,1589738000,58219000
Elfa Medicamentos,2022-12-31,0,3195690000,3176829000,6372519000,323696000,717093000,-555635000,-293918000,-5280858000,-626146000,71592000,2377395000,1839783000,2155341000,6174619000,267615000
Bompreço do Brasil Participações,2021-12-31,0,4413000000,13474000000,17887000000,251000000,-373000000,-577000000,716000000,-15133000000,-4440000000,240000000,4200000000,5658000000,8029000000,20124000000,551000000
Hinove Agrociência,2022-12-31,7806000,288912000,239709000,528621000,30639000,65319000,-46946000,-13072000,-541470000,-107735000,29244000,265238000,232778000,30605000,733561000,84356000
Foxlux,2022-12-31,2764000,124112000,19647000,143759000,15189000,-37995000,2588000,24153000,-132857000,-38398000,23128000,86781000,11747000,45231000,213734000,42479000
Unimarka Distribuidora,2022-12-31,0,519491931,24247029,543738960,81867964,0,-5389464,66957371,-1315424004,-185054827,178002297,181315596,37673531,324749833,1612507813,112028981
RodOil,2022-12-31,0,376842000,454266000,831108000,87201000,95139000,-40661000,-57829000,-6384602000,-63601000,40720000,263505000,360766000,206837000,6575477000,127274000
Suécia Veículos,2021-12-31,0,281751000,63270000,345021000,82276000,6248000,-85732000,74998000,-1016352000,-69610000,86178000,128111000,24902000,192008000,1200566000,114604000
Pesa,2021-12-31,0,1047519000,441382000,1488901000,456247000,358062000,-161418000,54173000,-1400884000,-182513000,165208000,1196187000,39843000,252871000,1769982000,186585000
Compass Comercialização,2020-12-31,32525000,343023000,163033000,506056000,49153000,165492000,-127018000,10679000,-927913000,-12792000,-106970000,446922000,0,59134000,775479000,-165226000
Yamada,2021-12-31,0,46853661,155464510,202318171,12431031,6182348,-1853405,6433344,-39566107,-8088772,-14558071,38183844,619669857,-455535530,45529510,-2125369
AMER,2022-12-31,3596000000,16978000000,14894000000,31872000000,2479000000,8120000000,-2194000000,-6075000000,-20785000000,-13144000000,-13220000000,50181000000,8361000000,-26670000000,25821000000,-8108000000
Loungerie,2022-12-31,0,116404000,110108000,226512000,2264000,-8947000,-4136000,9043000,-78051000,-134333000,-560000,78294000,40920000,107298000,221738000,9354000
Hospfar,2023-12-31,0,155323000,107013000,262336000,2013000,-10921000,-2496000,11757000,-278136000,-27704000,2277000,122504000,61910000,77922000,321407000,15567000
BioHosp,2023-12-31,0,251453000,68612000,320065000,40223000,0,0,0,-474909000,-42296000,10726000,137658000,17510000,164897000,530826000,13621000
Auto Agrícola,2021-12-31,0,943323,11078156,12021480,895514,0,-440269,-2254743,0,-98255,608885,15380,0,12006099,660277,562022
Maqcampo,2022-12-31,383019000,1078984000,224468000,1303452000,51000,542718000,-360442000,-188707000,-1055719000,-179392000,259272000,270196000,541258000,491998000,1578584000,343473000
Greenergy Brasil Trading,2023-12-31,0,10995000,2378000,13373000,10954000,0,0,-7685000,-195000,-9946000,2218000,95920000,30873000,-113420000,1769000,-8372000
C&A,2021-12-31,0,3929398000,4743268000,8672666000,1050251000,-368291000,-571324000,480707000,-2755897000,-2304510000,329009000,2415055000,3262602000,2995009000,5153205000,92798000
Solo Network Brasil,2020-12-31,0,67093000,973000,68066000,31565000,2200000,-297000,22730000,-205808000,-23072000,3477000,58167000,674000,9225000,238683000,9803000
Ceará Diesel,2021-12-31,22185000,194626000,4710000,199336000,115055000,-1803000,-12063000,-5655000,-180101000,-39275000,9561000,34575000,101887000,62874000,232235000,12859000
Mafra Hospitalar,2021-12-31,838879000,4587414000,2309776000,6897190000,1364846000,1523104000,-1310134000,214542000,-5121452000,-605007000,395155000,2124284000,2621889000,2151017000,6218759000,492300000
Pérola Distribuição e Logística,2021-12-31,0,351368000,115331000,466699000,12619000,43065000,-8745000,-34910000,-972634000,-135078000,46799000,226400000,105506000,134793000,1144374000,36662000
Casa das Correntes,2022-12-31,0,77705000,1719000,79424000,5351000,15889000,-160000,-12200000,-62431000,-15735000,10449000,41717000,6483000,31224000,95264000,17098000
Greenergy Brasil Trading,2020-12-31,0,55241000,542000,55783000,33263000,-174000,-250000,-6487000,-1057731000,-9992000,-31503000,173142000,0,-117359000,1040746000,-26977000
Siciliano,2020-12-31,0,121970000,169081000,291051000,28482000,27045000,-519000,-15906000,-170234000,-453176000,-407073000,184388000,661582000,-554919000,246325000,-377085000
Americanas,2023-12-31,2245000000,10727000000,16388000000,27115000000,1758000000,-1457000000,981000000,-245000000,-10586000000,-8534000000,-2272000000,49275000000,6690000000,-28850000000,14942000000,-4178000000
Sendas Distribuidora,2022-12-31,0,14179000000,26439000000,40618000000,5842000000,1938000000,-3790000000,5144000000,-45557000000,-6113000000,1220000000,16416000000,20306000000,3896000000,54520000000,2850000000
3tentos,2020-12-31,0,1770014000,551359000,2321373000,252692000,82741000,-73998000,79979000,-2612260000,-172704000,246263000,1365036000,244205000,712132000,3112439000,327475000
